CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Profile
10167,36,6,231.06,3,3,2,332,8,Potential Loyalists
10168,74,1,126.2,2,1,1,211,4,Lost
10169,54,5,160.35000000000002,2,2,1,221,5,At Risk
10170,33,2,293.02,3,1,3,313,7,Potential Loyalists
10171,11,7,331.41,4,4,3,443,11,Champions
10172,19,7,485.04,4,4,4,444,12,Champions
10173,46,3,158.85999999999999,3,1,1,311,5,At Risk
10174,179,2,253.85000000000002,1,1,2,112,4,Lost
10175,15,3,164.07999999999998,4,1,1,411,6,At Risk
10176,120,4,130.96,1,2,1,121,4,Lost
10177,9,5,360.98,4,2,3,423,9,Loyal Customers
10178,188,3,298.82,1,1,3,113,5,At Risk
10179,62,3,93.26,2,1,1,211,4,Lost
10180,248,1,131.86,1,1,1,111,3,Lost
10181,31,6,404.9,3,3,4,334,10,Loyal Customers
10182,72,8,313.02,2,4,3,243,9,Loyal Customers
10183,8,5,277.05,4,2,2,422,8,Potential Loyalists
10184,95,1,10.36,2,1,1,211,4,Lost
10185,182,3,144.47,1,1,1,111,3,Lost
10186,48,3,262.07,3,1,2,312,6,At Risk
10187,11,9,579.3199999999999,4,4,4,444,12,Champions
10188,210,1,10.55,1,1,1,111,3,Lost
10189,75,9,690.51,2,4,4,244,10,Loyal Customers
10190,16,5,356.43,4,2,3,423,9,Loyal Customers
10191,41,6,197.79000000000002,3,3,2,332,8,Potential Loyalists
10192,190,2,100.93,1,1,1,111,3,Lost
10193,116,7,614.06,1,4,4,144,9,Loyal Customers
10194,28,5,362.95,3,2,3,323,8,Potential Loyalists
10195,76,8,428.64,2,4,4,244,10,Loyal Customers
10197,11,5,594.06,4,2,4,424,10,Loyal Customers
10198,30,2,58.32,3,1,1,311,5,At Risk
10199,72,3,69.25,2,1,1,211,4,Lost
10200,47,9,640.99,3,4,4,344,11,Champions
10201,45,6,228.99,3,3,2,332,8,Potential Loyalists
10202,36,5,150.7,3,2,1,321,6,At Risk
10203,107,4,242.89000000000001,1,2,2,122,5,At Risk
10204,201,2,125.07,1,1,1,111,3,Lost
10205,69,4,94.28,2,2,1,221,5,At Risk
10206,26,4,107.6,3,2,1,321,6,At Risk
10207,91,4,204.61,2,2,2,222,6,At Risk
10208,19,3,141.27,4,1,1,411,6,At Risk
10209,30,6,385.72,3,3,3,333,9,Loyal Customers
10210,49,4,215.96,3,2,2,322,7,Potential Loyalists
10211,133,1,63.18,1,1,1,111,3,Lost
10212,44,6,264.77,3,3,2,332,8,Potential Loyalists
10213,2,5,410.99,4,2,4,424,10,Loyal Customers
10214,122,4,113.71000000000001,1,2,1,121,4,Lost
10215,101,8,527.91,1,4,4,144,9,Loyal Customers
10216,109,7,489.96000000000004,1,4,4,144,9,Loyal Customers
10217,24,7,395.53,3,4,3,343,10,Loyal Customers
10218,114,1,186.34,1,1,2,112,4,Lost
10219,51,10,562.73,3,4,4,344,11,Champions
10220,26,3,151.94,3,1,1,311,5,At Risk
10221,159,4,219.67000000000002,1,2,2,122,5,At Risk
10222,8,9,383.75,4,4,3,443,11,Champions
10223,20,5,319.43,3,2,3,323,8,Potential Loyalists
10224,39,6,362.11,3,3,3,333,9,Loyal Customers
10225,138,8,444.02,1,4,4,144,9,Loyal Customers
10226,45,9,413.14,3,4,4,344,11,Champions
10227,105,5,387.88,1,2,3,123,6,At Risk
10228,46,8,449.21,3,4,4,344,11,Champions
10229,18,3,130.18,4,1,1,411,6,At Risk
10230,32,8,554.69,3,4,4,344,11,Champions
10231,10,3,178.13,4,1,2,412,7,Potential Loyalists
10232,18,10,533.01,4,4,4,444,12,Champions
10233,58,3,223.13,2,1,2,212,5,At Risk
10234,47,4,258.7,3,2,2,322,7,Potential Loyalists
10235,49,4,255.57999999999998,3,2,2,322,7,Potential Loyalists
10236,36,4,225.4,3,2,2,322,7,Potential Loyalists
10237,183,3,100.81,1,1,1,111,3,Lost
10238,16,5,337.3,4,2,3,423,9,Loyal Customers
10239,301,1,11.2,1,1,1,111,3,Lost
10240,113,2,51.84,1,1,1,111,3,Lost
10241,18,8,670.36,4,4,4,444,12,Champions
10242,16,5,284.71,4,2,3,423,9,Loyal Customers
10243,32,4,123.94,3,2,1,321,6,At Risk
10244,130,2,222.82999999999998,1,1,2,112,4,Lost
10245,47,4,351.88,3,2,3,323,8,Potential Loyalists
10246,66,3,311.71,2,1,3,213,6,At Risk
10247,55,2,93.08,2,1,1,211,4,Lost
10248,140,2,139.73,1,1,1,111,3,Lost
10249,62,5,305.58,2,2,3,223,7,Potential Loyalists
10250,10,7,240.37,4,4,2,442,10,Loyal Customers
10251,28,2,197.19,3,1,2,312,6,At Risk
10252,48,8,443.21999999999997,3,4,4,344,11,Champions
10253,52,9,353.51,2,4,3,243,9,Loyal Customers
10254,42,1,25.7,3,1,1,311,5,At Risk
10255,54,4,164.05,2,2,1,221,5,At Risk
10256,17,4,193.12,4,2,2,422,8,Potential Loyalists
10257,71,3,106.91,2,1,1,211,4,Lost
10258,10,6,350.0,4,3,3,433,10,Loyal Customers
10259,67,6,173.32999999999998,2,3,1,231,6,At Risk
10260,117,8,364.13,1,4,3,143,8,Potential Loyalists
10261,28,5,268.83,3,2,2,322,7,Potential Loyalists
10262,84,4,245.8,2,2,2,222,6,At Risk
10263,30,6,275.76,3,3,2,332,8,Potential Loyalists
10264,84,4,262.31,2,2,2,222,6,At Risk
10265,126,3,113.03999999999999,1,1,1,111,3,Lost
10266,22,3,59.879999999999995,3,1,1,311,5,At Risk
10267,12,11,624.53,4,4,4,444,12,Champions
10268,116,2,52.69,1,1,1,111,3,Lost
10269,13,6,588.83,4,3,4,434,11,Champions
10270,32,4,373.78,3,2,3,323,8,Potential Loyalists
10271,154,3,139.58,1,1,1,111,3,Lost
10272,90,8,481.59,2,4,4,244,10,Loyal Customers
10273,159,4,348.68,1,2,3,123,6,At Risk
10274,186,2,83.28,1,1,1,111,3,Lost
10275,125,3,274.17,1,1,2,112,4,Lost
10276,87,11,997.8100000000001,2,4,4,244,10,Loyal Customers
10277,11,4,171.92000000000002,4,2,1,421,7,Potential Loyalists
10278,109,5,348.59000000000003,1,2,3,123,6,At Risk
10279,4,5,258.26,4,2,2,422,8,Potential Loyalists
10280,108,4,365.86,1,2,3,123,6,At Risk
10281,4,3,85.53999999999999,4,1,1,411,6,At Risk
10282,1,6,304.4,4,3,3,433,10,Loyal Customers
10283,16,5,262.95,4,2,2,422,8,Potential Loyalists
10284,8,7,467.5,4,4,4,444,12,Champions
10285,90,4,96.72,2,2,1,221,5,At Risk
10286,38,6,317.59,3,3,3,333,9,Loyal Customers
10287,6,8,500.84,4,4,4,444,12,Champions
10288,6,10,540.01,4,4,4,444,12,Champions
10289,182,3,313.27,1,1,3,113,5,At Risk
10290,40,4,224.46,3,2,2,322,7,Potential Loyalists
10291,93,3,82.22,2,1,1,211,4,Lost
10292,59,5,180.56,2,2,2,222,6,At Risk
10293,99,4,315.81,2,2,3,223,7,Potential Loyalists
10294,95,5,272.85999999999996,2,2,2,222,6,At Risk
10295,18,7,574.9000000000001,4,4,4,444,12,Champions
10296,42,2,217.48,3,1,2,312,6,At Risk
10297,81,3,290.81,2,1,3,213,6,At Risk
10299,48,3,212.14999999999998,3,1,2,312,6,At Risk
10300,43,7,313.92,3,4,3,343,10,Loyal Customers
10301,12,10,700.48,4,4,4,444,12,Champions
10302,16,8,517.68,4,4,4,444,12,Champions
10303,6,5,247.18,4,2,2,422,8,Potential Loyalists
10304,34,8,544.61,3,4,4,344,11,Champions
10305,117,4,214.04000000000002,1,2,2,122,5,At Risk
10306,219,3,111.08,1,1,1,111,3,Lost
10307,48,3,195.23,3,1,2,312,6,At Risk
10308,23,4,243.19,3,2,2,322,7,Potential Loyalists
10309,22,3,322.53999999999996,3,1,3,313,7,Potential Loyalists
10310,74,5,139.92,2,2,1,221,5,At Risk
10311,66,4,124.01999999999998,2,2,1,221,5,At Risk
10312,57,6,286.12,2,3,3,233,8,Potential Loyalists
10313,1,7,498.74,4,4,4,444,12,Champions
10314,156,1,14.17,1,1,1,111,3,Lost
10315,98,4,216.07999999999998,2,2,2,222,6,At Risk
10316,122,1,41.48,1,1,1,111,3,Lost
10317,17,10,727.12,4,4,4,444,12,Champions
10318,4,3,285.22,4,1,3,413,8,Potential Loyalists
10319,20,8,580.21,3,4,4,344,11,Champions
10320,10,3,106.78,4,1,1,411,6,At Risk
10321,256,2,101.30000000000001,1,1,1,111,3,Lost
10322,83,5,370.75,2,2,3,223,7,Potential Loyalists
10323,2,8,549.88,4,4,4,444,12,Champions
10324,67,3,122.53,2,1,1,211,4,Lost
10325,98,4,105.12,2,2,1,221,5,At Risk
10326,5,5,306.22,4,2,3,423,9,Loyal Customers
10327,1,3,180.76,4,1,2,412,7,Potential Loyalists
10328,25,5,249.19,3,2,2,322,7,Potential Loyalists
10329,11,5,329.11,4,2,3,423,9,Loyal Customers
10330,21,3,108.55,3,1,1,311,5,At Risk
10331,45,5,354.07,3,2,3,323,8,Potential Loyalists
10332,82,1,28.29,2,1,1,211,4,Lost
10333,166,5,376.22,1,2,3,123,6,At Risk
10334,16,5,264.89,4,2,2,422,8,Potential Loyalists
10335,50,6,312.92,3,3,3,333,9,Loyal Customers
10336,185,3,178.44,1,1,2,112,4,Lost
10337,92,6,223.35,2,3,2,232,7,Potential Loyalists
10338,88,2,121.00999999999999,2,1,1,211,4,Lost
10339,162,3,335.06,1,1,3,113,5,At Risk
10340,60,5,356.69,2,2,3,223,7,Potential Loyalists
10341,3,8,543.26,4,4,4,444,12,Champions
10342,116,4,258.34000000000003,1,2,2,122,5,At Risk
10343,12,9,550.18,4,4,4,444,12,Champions
10344,54,5,179.5,2,2,2,222,6,At Risk
10345,19,7,523.04,4,4,4,444,12,Champions
10346,204,2,81.61,1,1,1,111,3,Lost
10347,55,6,320.82,2,3,3,233,8,Potential Loyalists
10348,9,9,579.18,4,4,4,444,12,Champions
10349,56,8,591.13,2,4,4,244,10,Loyal Customers
10350,213,2,93.66,1,1,1,111,3,Lost
10351,44,3,246.52999999999997,3,1,2,312,6,At Risk
10352,39,6,285.65,3,3,3,333,9,Loyal Customers
10353,29,5,282.4,3,2,3,323,8,Potential Loyalists
10354,222,1,12.49,1,1,1,111,3,Lost
10355,97,6,457.39,2,3,4,234,9,Loyal Customers
10356,29,3,205.37,3,1,2,312,6,At Risk
10357,47,5,276.58,3,2,2,322,7,Potential Loyalists
10358,44,6,704.87,3,3,4,334,10,Loyal Customers
10359,52,6,237.15,2,3,2,232,7,Potential Loyalists
10360,15,6,304.61,4,3,3,433,10,Loyal Customers
10361,112,3,117.89,1,1,1,111,3,Lost
10362,90,7,411.57,2,4,4,244,10,Loyal Customers
10363,26,8,372.15,3,4,3,343,10,Loyal Customers
10364,48,8,352.07,3,4,3,343,10,Loyal Customers
10365,120,4,322.4,1,2,3,123,6,At Risk
10366,11,4,157.74,4,2,1,421,7,Potential Loyalists
10367,294,1,56.19,1,1,1,111,3,Lost
10368,52,4,232.71,2,2,2,222,6,At Risk
10369,9,4,122.68,4,2,1,421,7,Potential Loyalists
10370,139,5,483.52,1,2,4,124,7,Potential Loyalists
10371,252,2,47.18,1,1,1,111,3,Lost
10372,118,5,293.08000000000004,1,2,3,123,6,At Risk
10373,144,6,237.43,1,3,2,132,6,At Risk
10374,66,6,314.23,2,3,3,233,8,Potential Loyalists
10375,7,7,344.88,4,4,3,443,11,Champions
10376,4,6,204.24,4,3,2,432,9,Loyal Customers
10377,155,6,388.57,1,3,3,133,7,Potential Loyalists
10378,17,4,213.9,4,2,2,422,8,Potential Loyalists
10379,16,8,404.31,4,4,4,444,12,Champions
10380,4,8,445.28,4,4,4,444,12,Champions
10381,7,6,281.15,4,3,3,433,10,Loyal Customers
10382,1,3,291.09000000000003,4,1,3,413,8,Potential Loyalists
10383,141,4,248.76,1,2,2,122,5,At Risk
10384,16,6,166.65,4,3,1,431,8,Potential Loyalists
10385,25,9,374.88,3,4,3,343,10,Loyal Customers
10386,77,6,300.92,2,3,3,233,8,Potential Loyalists
10387,18,3,108.19,4,1,1,411,6,At Risk
10388,4,2,61.480000000000004,4,1,1,411,6,At Risk
10389,7,4,835.54,4,2,4,424,10,Loyal Customers
10390,101,5,141.25,1,3,1,131,5,At Risk
10391,14,6,214.37,4,3,2,432,9,Loyal Customers
10392,35,7,350.8,3,4,3,343,10,Loyal Customers
10393,29,3,173.25,3,1,1,311,5,At Risk
10394,12,7,344.74,4,4,3,443,11,Champions
10395,143,4,194.31,1,2,2,122,5,At Risk
10396,2,8,392.52000000000004,4,4,3,443,11,Champions
10397,58,4,257.39,2,2,2,222,6,At Risk
10398,58,7,392.84000000000003,2,4,3,243,9,Loyal Customers
10399,109,5,709.5799999999999,1,3,4,134,8,Potential Loyalists
10400,48,10,550.76,3,4,4,344,11,Champions
10401,11,5,359.98,4,3,3,433,10,Loyal Customers
10402,46,3,136.86,3,1,1,311,5,At Risk
10403,101,3,279.13,1,1,3,113,5,At Risk
10404,56,7,539.3299999999999,2,4,4,244,10,Loyal Customers
10405,3,6,540.23,4,3,4,434,11,Champions
10406,21,8,713.77,3,4,4,344,11,Champions
10407,19,5,334.28,4,3,3,433,10,Loyal Customers
10408,317,1,15.34,1,1,1,111,3,Lost
10409,71,3,309.77,2,1,3,213,6,At Risk
10410,229,3,133.79,1,1,1,111,3,Lost
10411,39,2,87.85,3,1,1,311,5,At Risk
10412,68,2,78.08,2,1,1,211,4,Lost
10413,11,7,347.75,4,4,3,443,11,Champions
10414,109,3,193.92000000000002,1,1,2,112,4,Lost
10415,81,5,227.28,2,3,2,232,7,Potential Loyalists
10416,2,4,241.8,4,2,2,422,8,Potential Loyalists
10417,58,5,345.95,2,3,3,233,8,Potential Loyalists
10418,12,7,211.63,4,4,2,442,10,Loyal Customers
10419,56,9,768.36,2,4,4,244,10,Loyal Customers
10420,40,2,170.53,3,1,1,311,5,At Risk
10421,9,7,310.67,4,4,3,443,11,Champions
10422,82,2,182.42,2,1,2,212,5,At Risk
10423,28,5,303.8,3,3,3,333,9,Loyal Customers
10424,43,5,382.6,3,3,3,333,9,Loyal Customers
10425,8,5,293.0,4,3,3,433,10,Loyal Customers
10426,24,6,370.61,3,3,3,333,9,Loyal Customers
10427,83,4,186.2,2,2,2,222,6,At Risk
10428,130,4,184.63,1,2,2,122,5,At Risk
10429,47,3,148.07,3,1,1,311,5,At Risk
10430,115,4,229.68,1,2,2,122,5,At Risk
10431,58,6,242.11,2,3,2,232,7,Potential Loyalists
10433,72,2,159.52,2,1,1,211,4,Lost
10434,57,10,750.7,2,4,4,244,10,Loyal Customers
10435,55,7,484.3,2,4,4,244,10,Loyal Customers
10436,131,5,482.21999999999997,1,3,4,134,8,Potential Loyalists
10437,3,4,434.92999999999995,4,2,4,424,10,Loyal Customers
10438,6,2,76.13,4,1,1,411,6,At Risk
10439,161,5,281.6,1,3,3,133,7,Potential Loyalists
10440,17,6,187.31,4,3,2,432,9,Loyal Customers
10441,2,6,249.03,4,3,2,432,9,Loyal Customers
10442,154,6,210.38,1,3,2,132,6,At Risk
10443,70,2,418.0,2,1,4,214,7,Potential Loyalists
10444,69,7,430.51,2,4,4,244,10,Loyal Customers
10445,8,3,170.78,4,1,1,411,6,At Risk
10446,92,4,201.68,2,2,2,222,6,At Risk
10447,146,3,195.39999999999998,1,1,2,112,4,Lost
10448,10,6,290.25,4,3,3,433,10,Loyal Customers
10449,62,8,259.53,2,4,2,242,8,Potential Loyalists
10450,23,3,97.97,3,1,1,311,5,At Risk
10451,81,2,119.44,2,1,1,211,4,Lost
10452,4,6,224.43,4,3,2,432,9,Loyal Customers
10453,3,6,426.78999999999996,4,3,4,434,11,Champions
10454,87,9,555.23,2,4,4,244,10,Loyal Customers
10455,28,5,323.28,3,3,3,333,9,Loyal Customers
10456,46,4,401.53999999999996,3,2,4,324,9,Loyal Customers
10457,116,2,38.07,1,1,1,111,3,Lost
10458,53,7,435.01,2,4,4,244,10,Loyal Customers
10459,25,7,297.54999999999995,3,4,3,343,10,Loyal Customers
10460,175,4,450.12,1,2,4,124,7,Potential Loyalists
10461,13,4,221.65,4,2,2,422,8,Potential Loyalists
10462,172,6,604.23,1,3,4,134,8,Potential Loyalists
10463,320,1,86.72,1,1,1,111,3,Lost
10464,12,3,243.97,4,1,2,412,7,Potential Loyalists
10465,97,5,282.55,2,3,3,233,8,Potential Loyalists
10466,56,7,895.6600000000001,2,4,4,244,10,Loyal Customers
10467,73,2,115.42,2,1,1,211,4,Lost
10468,52,5,228.06,2,3,2,232,7,Potential Loyalists
10469,47,3,225.48,3,1,2,312,6,At Risk
10470,123,5,294.11,1,3,3,133,7,Potential Loyalists
10471,68,3,223.59,2,1,2,212,5,At Risk
10472,8,5,353.83000000000004,4,3,3,433,10,Loyal Customers
10473,155,6,279.8,1,3,3,133,7,Potential Loyalists
10474,26,4,144.88,3,2,1,321,6,At Risk
10475,48,11,908.0500000000001,3,4,4,344,11,Champions
10476,16,9,721.89,4,4,4,444,12,Champions
10477,206,3,192.78,1,1,2,112,4,Lost
10478,135,1,25.74,1,1,1,111,3,Lost
10479,24,2,140.72,3,1,1,311,5,At Risk
10480,267,4,169.6,1,2,1,121,4,Lost
10481,29,5,291.49,3,3,3,333,9,Loyal Customers
10482,42,7,215.81,3,4,2,342,9,Loyal Customers
10483,230,2,222.49,1,1,2,112,4,Lost
10484,99,9,359.52,2,4,3,243,9,Loyal Customers
10485,107,3,183.17000000000002,1,1,2,112,4,Lost
10486,248,1,10.51,1,1,1,111,3,Lost
10487,206,5,140.19,1,3,1,131,5,At Risk
10488,17,5,334.0,4,3,3,433,10,Loyal Customers
10489,15,7,396.44,4,4,3,443,11,Champions
10490,135,4,222.89999999999998,1,2,2,122,5,At Risk
10491,10,5,303.25,4,3,3,433,10,Loyal Customers
10492,75,5,177.70000000000002,2,3,2,232,7,Potential Loyalists
10493,38,8,423.2,3,4,4,344,11,Champions
10494,117,3,158.36,1,1,1,111,3,Lost
10495,207,1,33.51,1,1,1,111,3,Lost
10496,52,10,462.89,2,4,4,244,10,Loyal Customers
10497,226,3,182.39999999999998,1,1,2,112,4,Lost
10498,3,5,359.33,4,3,3,433,10,Loyal Customers
10499,42,9,483.79,3,4,4,344,11,Champions
10500,30,5,473.09999999999997,3,3,4,334,10,Loyal Customers
10501,48,3,184.39,3,1,2,312,6,At Risk
10502,29,4,75.22,3,2,1,321,6,At Risk
